dataset_name,comparison,cell_type,pathway,pathway_rank_metric,evidence_tier,average_signed_effect,average_absolute_effect,overlapping_gene_count,upregulated_gene_count,downregulated_gene_count,significant_gene_count,direction,interpretation_label
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,apoptosis,5.95238068163094,gene-level signal only,0.595238068163094,0.595238068163094,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,cell_cycle_checkpoint,5.0573327568983295,gene-level signal only,0.505733275689833,0.505733275689833,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,DNA_repair,6.381929845688999,gene-level signal only,0.6381929845689,0.6381929845689,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,apoptosis,5.78555078321826,gene-level signal only,0.578555078321826,0.578555078321826,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,cell_cycle_checkpoint,6.381929845688999,gene-level signal only,0.6381929845689,0.6381929845689,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,apoptosis,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,DNA_repair,4.4958171892673935,gene-level signal only,0.530866355153152,0.530866355153152,2,2,0,2,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,apoptosis,0.6906938925533073,gene-level signal only,0.313763263054012,0.313763263054012,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,cell_cycle_checkpoint,4.4958171892673935,gene-level signal only,0.530866355153152,0.530866355153152,2,2,0,2,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,oxidative_stress,3.692719411165522,gene-level signal only,0.376286556983365,0.376286556983365,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,apoptosis,2.0172043578870933,gene-level signal only,0.310521615288051,0.310521615288051,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,cell_cycle_checkpoint,1.6617162979528064,gene-level signal only,0.46908089842929,0.46908089842929,2,2,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,DNA_repair,5.486135590383879,gene-level signal only,0.551436615740304,0.551436615740304,2,2,0,2,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,p53_pathway,0.8562942045136162,gene-level signal only,0.26080239857143,0.26080239857143,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,apoptosis,7.93776829362397,gene-level signal only,0.793776829362397,0.793776829362397,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,cell_cycle_checkpoint,5.486135590383879,gene-level signal only,0.551436615740304,0.551436615740304,2,2,0,2,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,DNA_repair,3.4561200919984802,gene-level signal only,0.345612009199848,0.345612009199848,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,apoptosis,0.0,gene-level signal only,0.325249266253725,0.325249266253725,1,1,0,0,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,cell_cycle_checkpoint,3.55620187509759,gene-level signal only,0.355620187509759,0.355620187509759,2,2,0,2,positive,insufficient overlapping genes
